VIAL CODE,SITE CODE,EXPECTED_#_NYMPHS,INCREASE_OR_DECREASE,QUANTITY_CHANGED,Final Ixodes Nymph Count,Date,Time (H_M),Collector,Temperture ©,Humdity
1,SO_34_1,10,BLANK,BLANK,10,5_25_2022,08_30,TKW,16,49%
2,SO_41_1,25,BLANK,BLANK,25,5_24_2022,11_20,TKW,17.7,45%
3,SO_42_1,48,BLANK,BLANK,48,5_26_2022,09_00 AM,EG,16.6,27%
4,SO_42_1,52,INCREASE,2,54,5_26_2022,09_00 AM,TKW,16.6,27%
5,SO_35_1,22,BLANK,BLANK,22,5_26_2022,01_00 PM,"TKW, EG",16.6,30%
6,SO_40_1,16,DECREASE,8,8,5_31_2022,09_00 AM,TKW,37.5,31%
7,SO_35_3,19,DECREASE,1,18,5_31_2022,01_21 PM,TKW,22,55%
8,SO_35_2,28,DECREASE,2,26,6_1_2022,09_30 AM,TKW,22.1,42%
9,SO_29_2,7,BLANK,BLANK,7,6_2_2022,12_31 PM,GB,25,69%
10,SO_29_2,24,DECREASE,BLANK,20,6_2_2022,12_31 PM,TKW,25,69%
11,SO_29_2,11,BLANK,BLANK,11,6_2_2022,12_31 PM,EG,25,69%
12,SO_34_2,5,BLANK,BLANK,5,6_2_2022,08_34 AM,GB,18.4,69%
13,SO_34_2,2,BLANK,BLANK,2,6_2_2022,08_34 AM,TKW,18.4,69%
14,SO_34_2,3,INCREASE,2,5,6_2_2022,08_34 AM,EG,18.4,259%
15,SO_34_3,4,INCREASE,13,17,6_2_2022,10_28 AM,GB,26.3,59%
16,SO_34_3,15,BLANK,BLANK,15,6_2_2022,10_28 AM,TKW,26.3,59%
17,SO_34_3,0,BLANK,BLANK,0,6_2_2022,10_28 AM,EG,26.3,59%
18,SB_37_1,1,BLANK,BLANK,1,6_6_2022,10_00 AM,"TKW,EG",23.7,78%
19,SB_30_2,83,INCREASE,1,84,6_7_2022,10_00 PM,TKW,22.5,88%
20,SB_26_1,44,DECREASE,-1,43,6_10_2022,11_15_00 AM,TKW,32.5,24%
21,SO_29_3,48,DECREASE,-2,46,6_3_2022,9_00 AM,TKW,21.5,61.60%
22,NO_3_2,0,BLANK,BLANK,0,6_14_2022,11_42 AM,TKW,26.6,20.20%
23,NO_3_2,0,BLANK,BLANK,0,6_14_2022,11_42 AM,SS,26.6,20.20%
24,CE_17_2,56,INCREASE,2,58,6_15_2022,9_25 AM,TKW,23.8,53.7
25,NB_18_1,19,BLANK,BLANK,19,6_16_2022,10_56_00 AM,TKW,23.4,49.6
26,NB_18_1,16,BLANK,BLANK,16,6_16_2022,11_56_00 AM,EG,23.4,49.6
27,CE_16_2,2,BLANK,BLANK,2,6_16_2022,8_42_00 AM,TKW,21.7,75.90%
28,CE_16_2,0,BLANK,BLANK,0,6_16_2022,9_42_00 AM,EG,21.7,75.90%
29,CE_23_1,23,DECREASE,-1,22,6_16_2022,1_18 PM,TKW,23.4,49.5
30,CE_23_1,10,BLANK,BLANK,10,6_16_2022,1_18 PM,EG,23.4,49.5
31,NO_3_1,9,INCREASE,1,10,6_17_2022,11_38 AM,EG,25.7,73
32,NO_3_1,13,BLANK,BLANK,13,6_17_2022,11_38 AM,TKW,25.7,73
33,NO_6_2,1,BLANK,BLANK,1,6_17_2022,01_52 PM,TKW,18.7,80.1
34,NO_6_2,6,BLANK,BLANK,6,6_17_2022,01_52 PM,EG,18.7,80.1
35,CE_23_2,135,DECREASE,-4,131,6_20_2022,12_27 PM,TKW,24.7,55.8
36,CE_22_2,24,BLANK,BLANK,24,6_21_2022,09_30 AM,TKW,20.3,72.1
37,SO_28_3,23,DECREASE,-3,20,6_21_2022,02_00 PM,TKW,23.9,65.2
38,CE_12_2,7,BLANK,BLANK,7,6_23_2022,11_15 AM,TKW,21.2,85.9
39,CE_12_2,2,BLANK,BLANK,2,6_23_2022,11_15 AM,HB,21.2,85.9
40,CE_12_2,1,BLANK,BLANK,1,6_23_2022,11_15 AM,SS,21.2,85.9
41,NB_8_1,7,BLANK,BLANK,7,6_24_2022,12_27 PM,SS,20.8,60.5
42,NB_8_1,0,BLANK,BLANK,0,6_24_2022,12_27 PM,TKW,20.8,60.5
43,NB_8_1,0,BLANK,BLANK,0,6_24_2022,12_27 PM,EG,20.8,60.5
44,CE_22_1,9,INCREASE,1,10,6_24_2022,02_51 PM,EG,22.5,65.6
45,CE_22_1,16,BLANK,BLANK,16,6_24_2022,02_51 PM,TKW,22.5,65.6
46,CE_16_3,10,BLANK,BLANK,10,6_23_2022,01_35 PM,SS,20.4,39.5
47,CE_16_3,7,DECREASE,-1,6,6_23_2022,01_35 PM,TKW,20.4,39.5
48,CE_16_3,2,BLANK,BLANK,2,6_23_2022,01_35 PM,EG,20.4,39.5
49,NO_4_2,3,BLANK,BLANK,3,6_24_2022,11_10 AM,TKW,24,65.7
50,NO_4_2,0,BLANK,BLANK,0,6_24_2022,11_10 AM,SS,24,65.7
51,NO_4_2,1,BLANK,BLANK,1,6_24_2022,11_10 AM,EG,24,65.7
52,CE_12_1,15,INCREASE,1,16,6_23_2022,09_05 AM,TKW,20.3,75.6
53,CE_12_1,2,BLANK,BLANK,2,6_23_2022,09_05 AM,EF,20.3,75.6
54,CE_17_1,11,DECREASE,-1,10,6_23_2022,03_26 PM,TKW,22.9,72.9
55,CE_17_1,3,BLANK,BLANK,3,6_23_2022,03_26 PM,SS,22.9,72.9
56,CE_17_1,6,DECREASE,-1,5,6_23_2022,03_26 PM,HB,22.9,72.9
57,NB_19_2,72,DECREASE,-4,68,6_28_2022,11_00 PM,TKW,23.3,73.2
58,NB_19_1,3,BLANK,BLANK,3,6_28_2022,02_00 PM,TKW,24.6,68.9
59,NO_7_1,15,BLANK,BLANK,15,6_29_2022,12_00 PM,TKW,30.2,51.1
60,NO_2_1,1,BLANK,BLANK,1,6_30_2022,12_22 PM,TKW,26.2,40.7
61,NO_2_1,0,BLANK,BLANK,0,6_30_2022,12_22 PM,EG,26.2,40.7
62,NO_1_1,1,BLANK,BLANK,1,6_30_2022,9_40 AM,EG,23.2,55.5
63,NO_1_1,0,BLANK,BLANK,0,6_30_2022,9_40 AM,TKW,23.2,55.5
64,NO_6_1,0,BLANK,BLANK,0,6_30_2022,02_05 AM,TKW,26.3,47.1
65,NO_6_1,3,BLANK,BLANK,3,6_30_2022,02_05 AM,EG,26.3,47.1
66,SO_27_2,2,BLANK,BLANK,2,7_1_2022,02_44 PM,TKW,22.6,71.6
67,SO_27_2,0,BLANK,BLANK,0,7_1_2022,02_44 PM,HB,22.6,71.6
68,SO_27_2,1,BLANK,BLANK,1,7_1_2022,02_44 PM,EG,22.6,71.6
69,CE_10_2,0,BLANK,BLANK,0,7_1_2022,11_47 AM,EG,30.3,56.4
70,CE_10_2,2,BLANK,BLANK,2,7_1_2022,11_47 AM,TKW,30.3,56.4
71,CE_11_2,13,BLANK,BLANK,13,7_1_2022,09_03 AM,TKW,25.9,71.8
72,CE_11_2,1,BLANK,BLANK,1,7_1_2022,09_03 AM,EG,25.9,71.8
73,SO_34_1,12,DECREASE,-3,9,7_5_2022,01_00 PM,TKW,23.5,82.4
74,SO_41_1,26,DECREASE,-11,15,7_5_2022,09_00 AM,TKW,24.3,78
75,SO_42_1,206,DECREASE,-9,197,7_6_2022,10_30 AM,TKW,29.05,70.57
76,SO_35_1,20,BLANK,BLANK,20,7_6_2022,02_00 AM,TKW,27.85,57.47
77,SO_40_1,4,BLANK,BLANK,4,7_7_2022,8_48 AM,TKW,22.75,79.62
78,SO_40_1,3,BLANK,BLANK,3,7_7_2022,8_48 AM,EG,22.75,79.62
79,SO_35_3,1,BLANK,BLANK,1,7_7_2022,2_36 PM,TKW,23.5,74.21
80,SO_35_3,1,BLANK,BLANK,1,7_7_2022,2_36 PM,EG,23.5,74.21
81,SO_35_2,7,DECREASE,-1,6,7_7_2022,12_17 PM,TKW,26.23,54.58
82,SO_35_2,0,BLANK,BLANK,0,7_7_2022,12_17 PM,EG,26.23,54.58
83,SO_29_2,13,BLANK,BLANK,13,7_7_2022,10_48 AM,TKW,25.3,59.25
84,SO_29_2,3,BLANK,BLANK,3,7_7_2022,10_48 AM,EG,25.3,59.25
85,SO_29_3,2,BLANK,BLANK,2,7_8_2022,10_36 AM,TKW,35.37,38.51
86,SO_29_3,4,BLANK,BLANK,4,7_8_2022,10_36 AM,EG,35.37,38.51
87,SO_34_3,4,BLANK,BLANK,4,7_8_2022,12_20 PM,TKW,29.63,48.2
88,SO_34_3,1,BLANK,BLANK,1,7_8_2022,12_20 PM,EG,29.63,48.2
89,CE_16_3,9,BLANK,BLANK,9,7_8_2022,2_34 PM,TKW,29.09,58.53
90,CE_16_3,2,BLANK,BLANK,2,7_8_2022,2_34 PM,EG,29.09,58.53
91,SB_37_1,1,BLANK,BLANK,1,7_11_2022,1_00 PM,TKW,36.94,38.1
92,CE_17_2,29,DECREASE,-1,28,7_11_2022,9_30 AM,TKW,28.69,48.07
93,SO_34_2,34,DECREASE,-3,31,7_12_2022,2_00 PM,TKW,29.45,61.55
94,SB_26_1,21,BLANK,BLANK,21,7_12_2022,9_30 AM,TKW,30.67,42.68
95,SB_30_2,36,DECREASE,-1,35,7_13_2022,8_53 AM,TKW,26.82,74.2
96,CE_23_1,27,BLANK,BLANK,27,7_13_2022,2_05 PM,TKW,30.51,59.91
97,SO_28_3,22,DECREASE,-1,21,7_12_2022,02_00 PM,TKW,25.76,78.82
98,CE_16_2,0,BLANK,BLANK,0,7_14_2022,2_00 PM,TKW,29.71,65.8
99,CE_23_2,30,BLANK,BLANK,30,7_15_2022,9_49 AM,TKW,26.71,58.4
100,CE_23_2,23,BLANK,BLANK,23,7_15_2022,9_49 AM,EG,26.71,58.4
101,CE_22_1,9,DECREASE,-1,8,7_15_2022,2_16 PM,TKW,26.47,63.17
102,CE_22_1,4,BLANK,BLANK,4,7_15_2022,2_16 PM,EG,26.47,63.17
103,NB_18_1,12,BLANK,BLANK,12,7_15_2022,11_48 AM,TKW,26.54,54.56
104,NB_18_1,5,BLANK,BLANK,5,7_15_2022,11_48 AM,EG,26.54,54.56
105,NO_3_2,4,BLANK,BLANK,4,7_18_2022,8_30 AM,TKW,24.5,90.16
106,NO_3_1,9,BLANK,BLANK,9,7_19_2022,10_34 AM,TKW,27.26,84.62
107,NO_6_2,4,BLANK,BLANK,4,7_20_2022,09_04 AM,TKW,27.54,87.69
108,CE_22_2,16,INCREASE,1,17,7_20_2022,12_43 PM,TKW,30.12,83.76
109,CE_12_2,15,BLANK,BLANK,15,7_21_2022,1_06 PM,TKW,34.59,58.87
110,CE_12_2,3,BLANK,BLANK,3,7_21_2022,1_06 PM,EG,34.59,58.87
111,NO_4_2,0,BLANK,BLANK,0,7_21_2022,9_32 AM,TKW,29.79,75.8
112,NO_4_2,0,BLANK,BLANK,0,7_21_2022,9_32 AM,EG,29.79,75.8
113,CE_12_1,5,BLANK,BLANK,5,7_21_2022,11_26 AM,TKW,30.51,69.98
114,CE_12_1,0,BLANK,BLANK,0,7_21_2022,11_26 AM,EG,30.51,69.98
115,NB_8_1,4,BLANK,BLANK,4,7_22_2022,9_00 AM,TKW,29.16,69.53
116,NB_8_1,0,BLANK,BLANK,0,7_22_2022,9_00 AM,EG,29.16,69.53
117,NB_19_2,51,DECREASE,-4,47,7_22_2022,11_07 AM,TKW,28.8,76.42
118,NB_19_2,10,BLANK,BLANK,10,7_22_2022,11_07 AM,EG,28.8,76.42
119,NB_19_1,0,BLANK,BLANK,0,7_22_2022,1_33 PM,TKW,29.7,67.26
120,NB_19_1,4,BLANK,BLANK,4,7_22_2022,1_33 PM,EG,29.7,67.26
121,CE_17_1,1,BLANK,BLANK,1,7_25_2022,8_35 AM,TKW,28.03,80.16
122,CE_17_1,2,BLANK,BLANK,2,7_25_2022,8_35 AM,DF,28.03,80.16
123,NO_7_1,3,BLANK,BLANK,3,7_25_2022,12_07 AM,TKW,28.06,79.64
124,NO_7_1,0,BLANK,BLANK,0,7_25_2022,12_07 AM,DF,28.06,79.64
125,NO_2_1,4,BLANK,BLANK,4,7_26_2022,1_50 PM,TKW,27.17,47.13
126,NO_1_1,2,BLANK,BLANK,2,7_26_2022,9_43 AM,TKW,26.73,57.4
127,NO_6_1,0,BLANK,BLANK,0,7_27_2022,9_27 AM,TKW,25.88,55.73
128,SO_27_2,2,BLANK,BLANK,2,7_28_2022,1_28 PM,TKW,29.32,69.53
129,SO_27_2,1,BLANK,BLANK,1,7_28_2022,1_28 PM,EG,29.32,69.53
130,CE_10_2,2,BLANK,BLANK,2,7_29_2022,8_54 AM,TKW,25.04,78.01
131,CE_10_2,0,BLANK,BLANK,0,7_29_2022,8_54 AM,EG,25.04,78.01
132,CE_11_2,0,BLANK,BLANK,0,7_29_2022,10_27 AM,TKW,27.87,82.1
133,CE_11_2,0,BLANK,BLANK,0,7_29_2022,10_27 AM,EG,27.87,82.1
